(TIME_PERIOD) Time,(1950) 1950,(1951) 1951,(1952) 1952,(1953) 1953,(1954) 1954,(1955) 1955,(1956) 1956,(1957) 1957,(1958) 1958,(1959) 1959,(1960) 1960,(1961) 1961,(1962) 1962,(1963) 1963,(1964) 1964,(1965) 1965,(1966) 1966,(1967) 1967,(1968) 1968,(1969) 1969,(1970) 1970,(1971) 1971,(1972) 1972,(1973) 1973,(1974) 1974,(1975) 1975,(1976) 1976,(1977) 1977,(1978) 1978,(1979) 1979,(1980) 1980,(1981) 1981,(1982) 1982,(1983) 1983,(1984) 1984,(1985) 1985,(1986) 1986,(1987) 1987,(1988) 1988,(1989) 1989,(1990) 1990,(1991) 1991,(1992) 1992,(1993) 1993,(1994) 1994,(1995) 1995,(1996) 1996,(1997) 1997,(1998) 1998,(1999) 1999,(2000) 2000,(2001) 2001,(2002) 2002,(2003) 2003,(2004) 2004,(2005) 2005,(2006) 2006,(2007) 2007,(2008) 2008,(2009) 2009,(2010) 2010,(2011) 2011,(2012) 2012,(2013) 2013,(2014) 2014,(2015) 2015,(2016) 2016,(2017) 2017,(2018) 2018,(2019) 2019,(2020) 2020,(2021) 2021,(2022) 2022,,
(LOCATION) Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(AUS) Australia,A   0.892857,A   0.892857,A   0.892857,A   0.892857,A   0.892857,A   0.892857,A   0.892857,A   0.892857,A   0.892857,A   0.892857,A   0.892857,A   0.892857,A   0.892857,A   0.892857,A   0.892857,A   0.892857,A   0.892857,A   0.892857,A   0.892857,A   0.892857,A   0.892857,A   0.88267,A   0.838698,A   0.704114,A   0.696666,A   0.763871,A   0.818284,A   0.901825,A   0.873659,A   0.894641,A   0.878244,A   0.870215,A   0.985863,A   1.110015,A   1.139519,A   1.431895,A   1.495974,A   1.42818,A   1.279908,A   1.264597,A   1.281057,A   1.283756,A   1.361648,A   1.47056,A   1.367751,A   1.349033,A   1.277863,A   1.34738,A   1.591828,A   1.54995,A   1.724827,A   1.933443,A   1.840563,A   1.541914,A   1.359752,A   1.309473,A   1.327973,A   1.195073,A   1.192178,A   1.282189,A   1.090159,A   0.969463,A   0.965801,A   1.035843,A   1.109363,A   1.33109,A   1.345214,A   1.304758,A   1.338412,A   1.438507,A   1.453085,A   1.331224,A   1.441664,,
(AUT) Austria,A   1.453166,A   1.552146,A   1.552146,A   1.774235,A   1.889494,A   1.889494,A   1.889494,A   1.889494,A   1.889494,A   1.889494,A   1.889494,A   1.889494,A   1.889494,A   1.889494,A   1.889494,A   1.889494,A   1.889494,A   1.889494,A   1.889494,A   1.889494,A   1.889494,A   1.815773,A   1.679857,A   1.422934,A   1.358437,A   1.265725,A   1.303726,A   1.201058,A   1.055331,A   0.971454,A   0.940241,A   1.157448,A   1.239744,A   1.305446,A   1.454117,A   1.503565,A   1.109506,A   0.918766,A   0.89734,A   0.96151,A   0.826278,A   0.848522,A   0.798626,A   0.845344,A   0.830056,A   0.732651,A   0.769355,A   0.886917,A   0.899622,A   0.938283,A   1.082705,A   1.116533,A   1.057559,A   0.884048,A   0.803922,A   0.8038,A   0.796433,A   0.729672,A   0.679923,A   0.716958,A   0.754309,A   0.718414,A   0.778338,A   0.752945,A   0.752728,A   0.901296,A   0.903421,A   0.885206,A   0.846773,A   0.893276,A   0.875506,A   0.845494,A   0.949624,,
(BEL) Belgium,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.239468,A   1.216091,A   1.091093,A   0.966202,A   0.965582,A   0.911726,A   0.956997,A   0.888519,A   0.780668,A   0.726791,A   0.724882,A   0.92041,A   1.13264,A   1.267521,A   1.432426,A   1.471942,A   1.107388,A   0.925488,A   0.911463,A   0.9768,A   0.828409,A   0.846513,A   0.796965,A   0.857625,A   0.829365,A   0.730791,A   0.767516,A   0.886812,A   0.89982,A   0.938283,A   1.082705,A   1.116533,A   1.057559,A   0.884048,A   0.803922,A   0.8038,A   0.796433,A   0.729672,A   0.679923,A   0.716958,A   0.754309,A   0.718414,A   0.778338,A   0.752945,A   0.752728,A   0.901296,A   0.903421,A   0.885206,A   0.846773,A   0.893276,A   0.875506,A   0.845494,A   0.949624,,
(CAN) Canada,A   1.089,A   1.053,A   0.979,A   0.983,A   0.973,A   0.986,A   0.984,A   0.958844,A   0.970619,A   0.959114,A   0.969767,A   1.013063,A   1.068769,A   1.078514,A   1.078598,A   1.077984,A   1.077342,A   1.07871,A   1.077471,A   1.076781,A   1.044219,A   1.009811,A   0.990663,A   1.00009,A   0.978018,A   1.017159,A   0.986028,A   1.063442,A   1.140659,A   1.171424,A   1.169227,A   1.198903,A   1.233735,A   1.232412,A   1.295066,A   1.365507,A   1.389471,A   1.325983,A   1.230701,A   1.183972,A   1.166774,A   1.145726,A   1.208723,A   1.290088,A   1.365673,A   1.372445,A   1.363522,A   1.384598,A   1.483505,A   1.485705,A   1.485394,A   1.54884,A   1.570343,A   1.401015,A   1.301282,A   1.211405,A   1.134345,A   1.074046,A   1.067087,A   1.141535,A   1.030113,A   0.989258,A   0.999365,A   1.030137,A   1.104747,A   1.278786,A   1.325615,A   1.297936,A   1.295818,A   1.326793,A   1.341153,A   1.253877,A   1.301555,,
(CHL) Chile,A   0.000048,A   0.000056,A   0.000062,A   0.000071,A   0.000092,A   0.000162,A   0.000336,A   0.000521,A   0.000705,A   0.000944,A   0.001049,A   0.00105,A   0.001058,A   0.001622,A   0.002307,A   0.003157,A   0.003851,A   0.005068,A   0.006876,A   0.008618,A   0.011278,A   0.012209,A   0.020835,A   0.071642,A   0.592826,A   4.910417,A   13.054167,A   21.535833,A   31.655833,A   37.245833,A   39,A   39,A   50.908333,A   78.788333,A   98.4775,A   160.86,A   192.93,A   219.406667,A   245.011667,A   266.954167,A   304.903333,A   349.215833,A   362.575833,A   404.165833,A   420.176667,A   396.773333,A   412.266667,A   419.295,A   460.2875,A   508.776667,A   539.5875,A   634.938333,A   688.936667,A   691.3975,A   609.529167,A   559.7675,A   530.275,A   522.464167,A   522.461036,A   560.859895,A   510.249167,A   483.6675,A   486.471303,A   495.272878,A   570.348216,A   654.124084,A   676.957736,A   648.833793,A   641.276813,A   702.897423,A   792.727206,A   758.955379,A   873.31419,,
(COL) Colombia,A   1.96,A   2.4,A   2.51,A   2.51,A   2.51,A   2.51,A   2.51,A   3.7975,A   6.4,A   6.4,A   6.635,A   6.7,A   6.961667,A   9,A   9,A   10.5,A   13.5,A   14.506667,A   16.291667,A   17.321667,A   18.444167,A   19.933333,A   21.866667,A   23.571667,A   26.061667,A   30.9275,A   34.695,A   36.774167,A   39.095,A   42.548333,A   47.278333,A   54.489167,A   64.085833,A   78.8575,A   100.8175,A   142.311667,A   194.260833,A   242.606667,A   299.173333,A   382.566667,A   502.26,A   627.1525,A   680.385833,A   786.346667,A   826.54,A   912.895,"A   1,036.6225","A   1,141.116667","A   1,426.424167","A   1,756.685833","A   2,087.918333","A   2,299.893333","A   2,504.680833","A   2,877.543333","A   2,628.368333","A   2,321.131667","A   2,358.594605","A   2,077.810958","A   1,965.1375","A   2,157.598333","A   1,898.9975","A   1,848.016667","A   1,798.011667","A   1,868.895","A   2,001.105","A   2,741.781667","A   3,055.255","A   2,951.486911","A   2,955.70397","A   3,281.622194","A   3,693.275833","A   3,744.244167","A   4,256.194167",,
(CRI) Costa Rica,A   5.615,A   5.615,A   5.615,A   5.615,A   5.615,A   5.615,A   5.615,A   5.615,A   5.615,A   5.615,A   5.615,A   5.951667,A   6.625,A   6.625,A   6.625,A   6.625,A   6.625,A   6.625,A   6.625,A   6.625,A   6.625,A   6.625833,A   6.635,A   6.646758,A   7.93,A   8.57,A   8.57,A   8.57,A   8.57,A   8.57,A   8.57,A   21.763333,A   37.406667,A   41.094167,A   44.532683,A   50.45335,A   55.985892,A   62.7762,A   75.804733,A   81.504208,A   91.579292,A   122.432417,A   134.506333,A   142.171667,A   157.066667,A   179.729167,A   207.689167,A   232.5975,A   257.229167,A   285.684695,A   308.186667,A   328.870833,A   359.817527,A   398.662222,A   437.935,A   477.786741,A   511.301818,A   516.61739,A   526.235513,A   573.287957,A   525.829201,A   505.66424,A   502.901462,A   499.766833,A   538.3172,A   534.56577,A   544.739367,A   567.51309,A   576.972501,A   587.294596,A   584.900855,A   620.78472,A   647.135818,,
(CZE) Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A   21.145,A   27.92,A   28.37,A   29.152833,A   28.785083,A   26.540667,A   27.144917,A   31.698417,A   32.281167,A   34.56925,A   38.598417,A   38.035328,A   32.738518,A   28.209,A   25.69975,A   23.957417,A   22.595583,A   20.293667,A   17.071667,A   19.063,A   19.09825,A   17.695917,A   19.5775,A   19.570583,A   20.7575,A   24.59875,A   24.439917,A   23.376333,A   21.729917,A   22.93225,A   23.21025,A   21.678167,A   23.357,,
(DNK) Denmark,A   6.90714,A   6.90714,A   6.90714,A   6.90714,A   6.90714,A   6.90714,A   6.90714,A   6.90714,A   6.90714,A   6.90714,A   6.90714,A   6.90714,A   6.90714,A   6.90714,A   6.90714,A   6.90714,A   6.90714,A   6.956542,A   7.5,A   7.5,A   7.5,A   7.426338,A   6.949292,A   6.0495,A   6.0949,A   5.74615,A   6.045025,A   6.003192,A   5.514625,A   5.260958,A   5.635942,A   7.123367,A   8.332442,A   9.144992,A   10.356592,A   10.596392,A   8.090992,A   6.840317,A   6.731525,A   7.310175,A   6.188558,A   6.396458,A   6.036133,A   6.483939,A   6.360552,A   5.602367,A   5.798672,A   6.604459,A   6.700827,A   6.97624,A   8.083144,A   8.322817,A   7.894714,A   6.587673,A   5.991057,A   5.99691,A   5.946778,A   5.443701,A   5.098131,A   5.360867,A   5.624075,A   5.368712,A   5.792476,A   5.616312,A   5.612467,A   6.727907,A   6.731718,A   6.602893,A   6.314619,A   6.669447,A   6.542152,A   6.287113,A   7.076152,,
