Year,Corporate income tax rate: Central government > Corporate income tax rate,Australia,Austria,Belgium,Canada,Chile,Colombia,Costa Rica,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Türkiye,United Kingdom,United States,Corporate income tax rate: Corporate income tax rate exclusive of surtax,Belgium,Canada,Colombia,France,Germany,Hungary,Japan,Lithuania,Luxembourg,Portugal,Sweden,Türkiye,Corporate income tax rate: Corporate income tax rate less deductions for sub-national taxes,Australia,Austria,Belgium,Canada,Chile,Costa Rica,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Türkiye,United Kingdom,United States,Corporate income tax rate: Sub-central government corporate income tax rate,Canada,Germany,Israel,Italy,Japan,Korea,Luxembourg,Norway,Portugal,Sweden,Switzerland,United States,Corporate income tax rate: Combined corporate income tax rate,Australia,Austria,Belgium,Canada,Chile,Colombia,Costa Rica,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Türkiye,United Kingdom,United States
1985,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,47.5382,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.110357,,,,,,,,,,,,,,,,,,,,,,,,62.648557,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,47.477745,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.218313,,,,,,,,,,,,,,,,,,,,,,,,62.696058,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,47.477745,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.218313,,,,,,,,,,,,,,,,,,,,,,,,62.696058,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,47.417443,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.325995,,,,,,,,,,,,,,,,,,,,,,,,62.743438,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,47.417443,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.325995,,,,,,,,,,,,,,,,,,,,,,,,62.743438,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,42.301184,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.397631,,,,,,,,,,,,,,,,,,,,,,,,57.698816,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,51.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,43.906052,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.361828,,,,,,,,,,,,,,,,,,,,,,,,59.26788,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,51.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,43.776371,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.611814,,,,,,,,,,,,,,,,,,,,,,,,59.388186,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,42.176297,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.647406,,,,,,,,,,,,,,,,,,,,,,,,57.823703,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,37.942664,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.682968,,,,,,,,,,,,,,,,,,,,,,,,53.625632,,,,,,,,,,,,,,,,,,,,,,,,,
