Year,Central government personal income tax rates and thresholds: Personal allowance,Belgium,Czechia,Denmark,Estonia,Greece,Latvia,Lithuania,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: Tax credit,Czechia,Denmark,Greece,Iceland,Ireland,Israel,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: Surtax rate,Belgium,Denmark,Greece,Ireland,Luxembourg,Central government personal income tax rates and thresholds: 01 Marginal rate,Belgium,Chile,Colombia,Costa Rica,Czechia,Denmark,Estonia,Finland,Greece,Hungary,Iceland,Ireland,Israel,Latvia,Lithuania,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: 01 Threshold,Belgium,Chile,Colombia,Costa Rica,Czechia,Denmark,Finland,Greece,Hungary,Iceland,Ireland,Israel,Latvia,Lithuania,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: 02 Marginal rate,Belgium,Chile,Colombia,Costa Rica,Czechia,Denmark,Finland,Greece,Hungary,Iceland,Ireland,Israel,Latvia,Lithuania,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: 02 Threshold,Belgium,Chile,Colombia,Costa Rica,Czechia,Denmark,Finland,Greece,Hungary,Iceland,Israel,Latvia,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: 03 Marginal rate,Belgium,Chile,Colombia,Costa Rica,Czechia,Denmark,Finland,Greece,Hungary,Iceland,Israel,Latvia,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: 03 Threshold,Belgium,Chile,Colombia,Costa Rica,Czechia,Finland,Greece,Israel,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: 04 Marginal rate,Belgium,Chile,Colombia,Costa Rica,Czechia,Finland,Greece,Israel,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: 04 Threshold,Belgium,Chile,Colombia,Costa Rica,Finland,Greece,Israel,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: 05 Marginal rate,Belgium,Chile,Colombia,Costa Rica,Finland,Greece,Israel,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: 05 Threshold,Belgium,Chile,Colombia,Finland,Greece,Israel,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: 06 Marginal rate,Belgium,Chile,Colombia,Finland,Greece,Israel,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: 06 Threshold,Belgium,Chile,Colombia,Finland,Greece,Israel,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: 07 Marginal rate,Belgium,Chile,Colombia,Finland,Greece,Israel,Luxembourg,Slovak Republic,Central government personal income tax rates and thresholds: 07 Threshold,Chile,Greece,Luxembourg,Central government personal income tax rates and thresholds: 08 Marginal rate,Chile,Greece,Luxembourg,Central government personal income tax rates and thresholds: 08 Threshold,Greece,Luxembourg,Central government personal income tax rates and thresholds: 09 Marginal rate,Greece,Luxembourg,Central government personal income tax rates and thresholds: 09 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 10 Marginal rate,Luxembourg,Central government personal income tax rates and thresholds: 10 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 11 Marginal rate,Luxembourg,Central government personal income tax rates and thresholds: 11 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 12 Marginal rate,Luxembourg,Central government personal income tax rates and thresholds: 12 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 13 Marginal rate,Luxembourg,Central government personal income tax rates and thresholds: 13 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 14 Marginal rate,Luxembourg,Central government personal income tax rates and thresholds: 14 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 15 Marginal rate,Luxembourg,Central government personal income tax rates and thresholds: 15 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 16 Marginal rate,Luxembourg,Central government personal income tax rates and thresholds: 16 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 17 Marginal rate,Luxembourg,Central government personal income tax rates and thresholds: 17 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 18 Marginal rate,Luxembourg,Central government personal income tax rates and thresholds: 18 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 19 Marginal rate,Luxembourg,Central government personal income tax rates and thresholds: 19 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 20 Marginal rate,Luxembourg,Central government personal income tax rates and thresholds: 20 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 21 Marginal rate,Luxembourg,Central government personal income tax rates and thresholds: 21 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 22 Marginal rate,Luxembourg,Central government personal income tax rates and thresholds: 22 Threshold,Luxembourg,Central government personal income tax rates and thresholds: 23 Marginal rate,Luxembourg
2000,,5206.0,34920.0,33400.0,614.0,,359.0,699.73,1353.5,1287.0,,,,,292326.0,1313.0,4509.0,,,,3.0,,,,2.5,,25.0,0.0,0.0,0.0,15.0,7.0,26.0,0.0,0.0,20.0,26.41,22.0,10.0,25.0,33.0,0.0,12.0,,6395.6529,3312000.0,15800000.0,2587200.0,102000.0,164300.0,8005.75,5869.4,400000.0,3278000.0,21585.547,23280.0,,,6693.12517,2987.452699,,30.0,5.0,,10.0,20.0,13.0,5.0,5.0,30.0,33.41,44.0,20.0,,,6.0,20.0,,8477.9585,9936000.0,75000000.0,3889200.0,204000.0,267600.0,10696.8,7953.04,1000000.0,,46680.0,,8775.43078,4979.087831,,40.0,10.0,35.0,15.0,25.0,28.0,15.0,15.0,40.0,,30.0,,16.0,25.0,,12097.204,16560000.0,,,312000.0,13623.2,12721.94,122880.0,10485.8961,7966.54053,,45.0,15.0,,,32.0,19.0,30.0,45.0,18.0,30.0,,27838.443,23184000.0,,,19005.2,22245.05,222720.0,12196.3614,13144.791874,,50.0,25.0,,,25.0,40.0,50.0,20.0,35.0,,41745.27,29808000.0,,29937.5,47644.9,,13906.82674,18721.370245,,52.5,35.0,,31.0,45.0,,22.0,40.0,,61229.701,39744000.0,,52979.2,,,15617.292061,37442.74049,,55.0,45.0,,37.5,,,24.0,42.0,,,,17327.757382,,,,26.0,,,19038.222703,,,28.0,,20748.688024,,30.0,,22459.153344,,32.0,,24169.618665,,34.0,,25880.083986,,36.0,,27590.549307,,38.0,,29301.014628,,40.0,,31011.479949,,42.0,,32721.94527,,44.0,,65443.89054,,46.0,,,,,,,,,,,,,,,,,,,,
2001,,5350.0,38040.0,,767.0,,359.0,719.33,1353.5,1287.0,,,2338.0,,302940.0,1396.0,4536.0,,,,2.0,,,,2.5,,25.0,0.0,0.0,0.0,15.0,6.25,26.0,0.0,0.0,20.0,26.08,20.0,10.0,25.0,33.0,0.0,12.0,,6570.0,3422880.0,17200000.0,2898000.0,109200.0,177900.0,11100.4,7403.0,480000.0,3865000.0,25394.762,23400.0,,,9667.847466,2987.452699,,30.0,5.0,,10.0,20.0,12.25,14.0,5.0,30.0,33.08,42.0,20.0,,,14.0,20.0,,8710.0,10268640.0,77000000.0,4356000.0,218400.0,276900.0,14296.0,8352.0,1050000.0,,46680.0,,11378.312787,4979.087831,,40.0,10.0,35.0,15.0,25.0,27.25,18.0,15.0,40.0,,30.0,,16.0,25.0,,12420.0,17114400.0,,,331200.0,19678.0,13359.0,123000.0,13088.778108,7966.54053,,45.0,15.0,,,32.0,24.0,30.0,45.0,18.0,30.0,,28540.0,23960160.0,,,30946.6,23357.0,222960.0,14799.243429,13144.791874,,50.0,25.0,,,30.0,40.0,50.0,20.0,35.0,,42810.0,30805920.0,,54661.1,50028.0,,16509.70875,18721.370245,,52.5,35.0,,37.0,42.5,,22.0,40.0,,62790.0,41074560.0,,,,,18220.174071,37442.74049,,55.0,45.0,,,,,24.0,42.0,,,,19930.639392,,,,26.0,,,21641.104713,,,28.0,,23351.570034,,30.0,,25062.035355,,32.0,,26772.500676,,34.0,,28482.965996,,36.0,,30193.431317,,38.0,,31903.896638,,40.0,,33614.361959,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,5480.0,38040.0,,767.0,,359.0,838.01,1416.0,1287.0,,,2088.0,,312024.0,1520.0,4590.0,,,,1.0,,,,2.5,,25.0,0.0,0.0,0.0,15.0,5.5,26.0,0.0,0.0,20.0,25.75,20.0,10.0,25.0,33.0,0.0,10.0,,6730.0,4761018.0,18600000.0,3240000.0,109200.0,191200.0,11500.0,8400.0,600000.0,3980000.0,28000.0,28410.0,,,9750.0,2987.452699,,30.0,5.0,,10.0,20.0,11.5,13.0,15.0,30.0,32.75,42.0,20.0,,,8.0,20.0,,8920.0,10580040.0,83200000.0,4869600.0,218400.0,285200.0,14300.0,13400.0,1200000.0,,42630.0,,11400.0,5974.905397,,40.0,10.0,35.0,15.0,25.0,26.5,17.0,30.0,40.0,,30.0,,10.0,28.0,,12720.0,17633400.0,,,331200.0,19700.0,23400.0,124800.0,13050.0,13144.791874,,45.0,15.0,,,32.0,23.0,40.0,45.0,12.0,35.0,,29260.0,24686760.0,,,30900.0,,226080.0,14700.0,18721.370245,,50.0,25.0,,,29.0,,50.0,14.0,38.0,,43870.0,31740120.0,,54700.0,,360000.0,16350.0,,,52.0,33.0,,36.0,,60.5,16.0,,,,42320160.0,,,,378000.0,18000.0,,,,39.0,,,,50.5,18.0,,,52900200.0,,19650.0,,43.0,,20.0,,,21300.0,,,22.0,,22950.0,,24.0,,24600.0,,26.0,,26250.0,,28.0,,27900.0,,30.0,,29550.0,,32.0,,31200.0,,34.0,,32850.0,,36.0,,34500.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,,
2003,,5570.0,38040.0,,767.0,,359.0,1007.88,1416.0,1287.0,,,1958.0,,321900.0,1520.0,4887.0,,,,,,,,2.5,,25.0,0.0,0.0,0.0,15.0,5.5,26.0,0.0,0.0,20.0,25.75,20.0,10.0,25.0,33.0,0.0,10.0,,6840.0,4817718.0,19700000.0,3552000.0,109200.0,198000.0,11600.0,10000.0,650000.0,4089450.0,28000.0,25200.0,,,9750.0,2987.452699,,30.0,5.0,,10.0,20.0,11.5,12.0,15.0,30.0,30.75,42.0,18.0,,,8.0,20.0,,9740.0,10706040.0,90100000.0,5340000.0,218400.0,295300.0,14400.0,13400.0,1350000.0,,50520.0,,11400.0,5974.905397,,40.0,10.0,35.0,15.0,25.0,26.5,16.0,30.0,40.0,,26.0,,10.0,28.0,,14530.0,17843400.0,,,331200.0,20000.0,23400.0,62640.0,13050.0,13144.791874,,45.0,15.0,,,32.0,22.0,40.0,27.0,12.0,35.0,,29740.0,24980760.0,,,31200.0,,135600.0,14700.0,18721.370245,,50.0,25.0,,,28.0,,45.0,14.0,38.0,,,32118120.0,,55200.0,,241200.0,16350.0,,,,32.0,,35.0,,50.0,16.0,,,,42824160.0,,,,,18000.0,,,,37.0,,,,,18.0,,,53530200.0,,19650.0,,40.0,,20.0,,,21300.0,,,22.0,,22950.0,,24.0,,24600.0,,26.0,,26250.0,,28.0,,27900.0,,30.0,,29550.0,,32.0,,31200.0,,34.0,,32850.0,,36.0,,34500.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,,
2004,,5660.0,38040.0,,1074.0,10000.0,359.0,1007.88,1416.0,2683.0,,,2024.0,,329948.0,1520.0,4806.0,,,,,,,,2.5,,25.0,0.0,0.0,0.0,15.0,5.5,26.0,0.0,0.0,18.0,25.75,20.0,10.0,25.0,33.0,0.0,19.0,,6950.0,4909896.0,20400000.0,3876000.0,109200.0,254000.0,11700.0,10000.0,800000.0,4191686.0,28000.0,46800.0,,,9750.0,,,30.0,5.0,,10.0,20.0,11.5,11.0,15.0,26.0,29.75,42.0,25.0,,,8.0,,,9890.0,10910880.0,96000000.0,5820000.0,218400.0,304800.0,14500.0,13400.0,1500000.0,,92400.0,,11400.0,,,40.0,10.0,35.0,15.0,25.0,26.6,15.0,30.0,38.0,,30.0,,10.0,,,16480.0,18184800.0,,,331200.0,20200.0,23400.0,132480.0,13050.0,,,45.0,15.0,,,32.0,21.0,40.0,43.0,12.0,,,30210.0,25458720.0,,,31500.0,,236520.0,14700.0,,,50.0,25.0,,,27.0,,45.0,14.0,,,,32732640.0,,55800.0,,409680.0,16350.0,,,,32.0,,34.0,,49.0,16.0,,,,43643520.0,,,,,18000.0,,,,37.0,,,,,18.0,,,54554400.0,,19650.0,,40.0,,20.0,,,21300.0,,,22.0,,22950.0,,24.0,,24600.0,,26.0,,26250.0,,28.0,,27900.0,,30.0,,29550.0,,32.0,,31200.0,,34.0,,32850.0,,36.0,,34500.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,,
2005,,5780.0,38040.0,,1304.0,,444.0,1007.88,1416.0,2919.0,,,2060.0,,339846.0,1580.0,4806.0,,,,,,,,2.5,,25.0,0.0,0.0,0.0,15.0,5.48,24.0,0.0,0.0,18.0,24.75,20.0,10.0,25.0,33.0,0.0,19.0,,7100.0,5114502.0,21644000.0,4404000.0,109200.0,259500.0,12000.0,11000.0,1500000.0,4191686.0,29400.0,50040.0,,,9750.0,,,30.0,5.0,,10.0,20.0,11.48,10.5,15.0,38.0,26.75,42.0,23.0,,,8.0,,,10100.0,11365560.0,95958000.0,6612000.0,218400.0,311500.0,15400.0,13000.0,,,89040.0,,11400.0,,,40.0,10.0,35.0,15.0,25.0,26.48,15.0,30.0,,,32.0,,10.0,,,16830.0,18942600.0,,,331200.0,20500.0,23000.0,133680.0,13050.0,,,45.0,15.0,,,32.0,20.5,40.0,37.0,12.0,,,30840.0,26519640.0,,,32100.0,,238680.0,14700.0,,,50.0,25.0,,,26.5,,39.0,14.0,,,,34096680.0,,56900.0,,413400.0,16350.0,,,,32.0,,33.5,,49.0,16.0,,,,45462240.0,,,,,18000.0,,,,37.0,,,,,18.0,,,56827800.0,,19650.0,,40.0,,20.0,,,21300.0,,,22.0,,22950.0,,24.0,,24600.0,,26.0,,26250.0,,28.0,,27900.0,,30.0,,29550.0,,32.0,,31200.0,,34.0,,32850.0,,36.0,,34500.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,,
2006,,5780.0,,,1534.0,,546.0,1007.88,1416.0,3014.0,,7200.0,2110.0,,348343.0,1630.0,4806.0,,,,,,,,2.5,,25.0,0.0,0.0,0.0,12.0,5.48,23.0,0.0,0.0,18.0,23.75,20.0,10.0,25.0,29.975342,0.0,19.0,,7290.0,5217372.0,22742000.0,5028000.0,121200.0,265500.0,12200.0,11000.0,1550000.0,,32000.0,51360.0,,,9750.0,,,30.0,5.0,,10.0,19.0,11.48,9.0,15.0,36.0,,42.0,22.0,,,8.0,,,10380.0,11594160.0,100154000.0,7548000.0,218400.0,318700.0,17000.0,13000.0,,,91440.0,,11400.0,,,40.0,10.0,35.0,15.0,25.0,26.48,14.0,30.0,,,29.0,,10.0,,,17300.0,19323600.0,,,331200.0,20000.0,23000.0,137280.0,13050.0,,,45.0,15.0,,,32.0,19.5,40.0,36.0,12.0,,,31700.0,27053040.0,,,32800.0,,245040.0,14700.0,,,50.0,25.0,,,25.0,,37.0,14.0,,,,34782480.0,,58200.0,,424440.0,16350.0,,,,32.0,,32.5,,49.0,16.0,,,,46376640.0,,,,,18000.0,,,,37.0,,,,,18.0,,,57970800.0,,19650.0,,40.0,,20.0,,,21300.0,,,22.0,,22950.0,,24.0,,24600.0,,26.0,,26250.0,,28.0,,27900.0,,30.0,,29550.0,,32.0,,31200.0,,34.0,,32850.0,,36.0,,34500.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,,
2007,,6040.0,,,1534.0,,854.0,1112.14,1416.0,3174.0,,7200.0,2165.0,,385800.0,1760.0,4806.0,,,,,8.0,,,2.5,,25.0,0.0,0.0,0.0,12.0,5.48,22.0,0.0,0.0,18.0,22.75,20.0,10.0,25.0,27.0,0.0,19.0,,7420.0,5543964.0,22862000.0,5616000.0,121200.0,272600.0,12400.0,12000.0,1700000.0,,34000.0,51240.0,,,9750.0,,,30.0,5.0,19.0,10.0,19.0,11.48,9.0,29.0,36.0,,41.0,21.0,,,8.0,,,10570.0,12319920.0,35656000.0,8424000.0,218400.0,327200.0,20400.0,30000.0,,,91200.0,,11400.0,,,40.0,10.0,28.0,15.0,25.0,26.48,19.5,39.0,,,29.0,,10.0,,,17610.0,20533200.0,85993000.0,,331200.0,33400.0,75000.0,136920.0,13050.0,,,45.0,15.0,34.0,,32.0,24.0,40.0,35.0,12.0,,,32270.0,28746480.0,,,60800.0,,196560.0,14700.0,,,50.0,25.0,,,32.0,,36.0,14.0,,,,36959760.0,,,,423240.0,16350.0,,,,32.0,,,,48.0,16.0,,,,49279680.0,,,,,18000.0,,,,37.0,,,,,18.0,,,61599600.0,,19650.0,,40.0,,20.0,,,21300.0,,,22.0,,22950.0,,24.0,,24600.0,,26.0,,26250.0,,28.0,,27900.0,,30.0,,29550.0,,32.0,,31200.0,,34.0,,32850.0,,36.0,,34500.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,,
2008,,6400.0,,,1728.0,,1366.0,1112.14,1416.0,3269.0,,24840.0,2247.0,,408409.0,1830.0,5103.0,,,,,8.0,,,2.5,,25.0,0.0,0.0,0.0,15.0,5.48,21.0,0.0,0.0,18.0,22.75,20.0,10.0,25.0,24.0,0.0,19.0,,7560.0,6099624.0,24039000.0,6069000.0,,279800.0,12600.0,12000.0,1700000.0,,35400.0,52680.0,,,10335.0,,,30.0,5.0,19.0,10.0,,11.48,8.5,27.0,36.0,,41.0,16.0,,,8.0,,,10760.0,13554720.0,37492000.0,9144000.0,,335800.0,20800.0,30000.0,,,93720.0,,12084.0,,,40.0,10.0,28.0,15.0,,26.48,19.0,37.0,,,26.0,,10.0,,,17930.0,22591200.0,90421000.0,,,34000.0,75000.0,140640.0,13833.0,,,45.0,15.0,33.0,,,23.5,40.0,33.0,12.0,,,32860.0,31627680.0,,,62000.0,,202080.0,15582.0,,,50.0,25.0,,,31.5,,35.0,14.0,,,,40664160.0,,,,435120.0,17331.0,,,,32.0,,,,47.0,16.0,,,,54218880.0,,,,,19080.0,,,,37.0,,,,,18.0,,,67773600.0,,20829.0,,40.0,,20.0,,,22578.0,,,22.0,,24327.0,,24.0,,26076.0,,26.0,,27825.0,,28.0,,29574.0,,30.0,,31323.0,,32.0,,33072.0,,34.0,,34821.0,,36.0,,36570.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,,
2009,,6430.0,,,1728.0,,1537.0,1633.46,1416.0,4026.0,,24840.0,2162.0,,506466.0,1830.0,5319.0,300.0,181.03,,,8.0,,5.0,2.5,,25.0,0.0,0.0,0.0,15.0,5.04,21.0,0.0,0.0,18.0,24.1,20.0,10.0,23.0,15.0,0.0,19.0,,7900.0,5971806.0,25902000.0,7032000.0,,347200.0,13100.0,12000.0,1900000.0,,36400.0,55080.0,,,11265.0,,,30.0,5.0,19.0,10.0,,26.04,7.0,25.0,36.0,,41.0,15.0,,,8.0,,,11250.0,13270680.0,40397000.0,10548000.0,,,21700.0,30000.0,,,97920.0,,13173.0,,,40.0,10.0,28.0,15.0,,,18.0,35.0,,,23.0,,10.0,,,18740.0,22117800.0,97428000.0,,,35300.0,75000.0,147000.0,15081.0,,,45.0,15.0,33.0,,,22.0,40.0,30.0,12.0,,,34360.0,30964920.0,,,64500.0,,211200.0,16989.0,,,50.0,25.0,,,30.5,,34.0,14.0,,,,39812040.0,,,,454680.0,18897.0,,,,32.0,,,,46.0,16.0,,,,53082720.0,,,,,20805.0,,,,37.0,,,,,18.0,,,66353400.0,,22713.0,,40.0,,20.0,,,24621.0,,,22.0,,26529.0,,24.0,,28437.0,,26.0,,30345.0,,28.0,,32253.0,,30.0,,34161.0,,32.0,,36069.0,,34.0,,37977.0,,36.0,,39885.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,,
