Year,Central government personal income tax rates and thresholds: Personal allowance,Slovenia,Spain,Sweden,Central government personal income tax rates and thresholds: Tax credit,Spain,Central government personal income tax rates and thresholds: 01 Marginal rate,Slovenia,Spain,Sweden,Switzerland,Central government personal income tax rates and thresholds: 01 Threshold,Slovenia,Spain,Sweden,Switzerland,Central government personal income tax rates and thresholds: 02 Marginal rate,Slovenia,Spain,Sweden,Switzerland,Central government personal income tax rates and thresholds: 02 Threshold,Slovenia,Spain,Sweden,Switzerland,Central government personal income tax rates and thresholds: 03 Marginal rate,Slovenia,Spain,Sweden,Switzerland,Central government personal income tax rates and thresholds: 03 Threshold,Slovenia,Spain,Switzerland,Central government personal income tax rates and thresholds: 04 Marginal rate,Slovenia,Spain,Switzerland,Central government personal income tax rates and thresholds: 04 Threshold,Slovenia,Spain,Switzerland,Central government personal income tax rates and thresholds: 05 Marginal rate,Slovenia,Spain,Switzerland,Central government personal income tax rates and thresholds: 05 Threshold,Slovenia,Spain,Switzerland,Central government personal income tax rates and thresholds: 06 Marginal rate,Slovenia,Spain,Switzerland,Central government personal income tax rates and thresholds: 06 Threshold,Slovenia,Spain,Switzerland,Central government personal income tax rates and thresholds: 07 Marginal rate,Spain,Switzerland,Central government personal income tax rates and thresholds: 07 Threshold,Switzerland,Central government personal income tax rates and thresholds: 08 Marginal rate,Switzerland,Central government personal income tax rates and thresholds: 08 Threshold,Switzerland,Central government personal income tax rates and thresholds: 09 Marginal rate,Switzerland,Central government personal income tax rates and thresholds: 09 Threshold,Switzerland,Central government personal income tax rates and thresholds: 10 Marginal rate,Switzerland,Central government personal income tax rates and thresholds: 10 Threshold,Switzerland,Central government personal income tax rates and thresholds: 11 Marginal rate,Switzerland
2000,,1056.0,3306.0,8700.0,,,,17.0,15.0,0.0,0.0,,4770.47,3678.194079,232600.0,16100.0,,35.0,20.17,20.0,0.77,,9540.94,12873.679276,374000.0,27900.0,,37.0,23.57,25.0,0.88,,14311.41,25134.326205,36500.0,,40.0,31.48,2.64,,19081.88,40460.134867,48600.0,,45.0,38.07,2.97,,28622.81,67433.558112,63800.0,,50.0,39.6,5.94,,,,68800.0,,,6.6,,91100.0,,8.8,,118400.0,,11.0,,154700.0,,13.2,,664300.0,,11.5
2001,,1182.0,3306.0,10000.0,,,,17.0,15.0,0.0,0.0,,5338.16,3678.0,252000.0,16100.0,,35.0,20.17,20.0,0.77,,10676.31,12874.0,390400.0,27900.0,,37.0,23.57,25.0,0.88,,16014.47,25134.0,36500.0,,40.0,31.48,2.64,,21352.62,40460.0,48600.0,,45.0,38.07,2.97,,32028.93,67434.0,63800.0,,50.0,39.6,5.94,,,,68800.0,,,6.6,,91100.0,,8.8,,118400.0,,11.0,,154700.0,,13.2,,664300.0,,11.5
2002,,1297.0,3305.57,11200.0,,,,17.0,15.0,0.0,0.0,,5855.96,3678.19,273800.0,16100.0,,35.0,20.17,20.0,0.77,,11711.91,12873.68,414200.0,27900.0,,37.0,23.57,25.0,0.88,,17567.88,25134.33,36500.0,,40.0,31.48,2.64,,23423.82,40460.13,48600.0,,45.0,38.07,2.97,,35135.73,67433.56,63800.0,,50.0,39.6,5.94,,,,68800.0,,,6.6,,91100.0,,8.8,,118400.0,,11.0,,154700.0,,13.2,,664300.0,,11.5
2003,,1395.0,3400.0,11400.0,,,,17.0,9.06,0.0,0.0,,6295.16,4000.0,284300.0,16100.0,,35.0,15.84,20.0,0.77,,12590.3,13800.0,430000.0,27900.0,,37.0,18.68,25.0,0.88,,18885.47,25800.0,36500.0,,40.0,24.71,2.64,,25180.61,45000.0,48600.0,,45.0,29.16,2.97,,37770.91,,63800.0,,50.0,,5.94,,,,68800.0,,,6.6,,91100.0,,8.8,,118400.0,,11.0,,154700.0,,13.2,,664300.0,,11.5
2004,,1474.0,3400.0,11600.0,,,,17.0,9.06,0.0,0.0,,6653.98,4000.0,291800.0,16100.0,,35.0,15.84,20.0,0.77,,13307.95,13800.0,441300.0,27900.0,,37.0,18.68,25.0,0.88,,19961.94,25800.0,36500.0,,40.0,24.71,2.64,,26615.9,45000.0,48600.0,,45.0,29.16,2.97,,39923.86,,63800.0,,50.0,,5.94,,166.599316,,68800.0,,,6.6,,91100.0,,8.8,,118400.0,,11.0,,154700.0,,13.2,,664300.0,,11.5
2005,,2355.0,3400.0,11600.0,,,,16.0,9.06,0.0,0.0,,5424.8,4080.0,298600.0,16100.0,,33.0,15.84,20.0,0.77,,10599.23,14076.0,450500.0,27900.0,,38.0,18.68,25.0,0.88,,21448.84,26316.0,36500.0,,42.0,24.71,2.64,,43106.33,45900.0,48600.0,,50.0,29.16,2.97,,,,63800.0,,,,5.94,,,,68800.0,,,6.6,,91100.0,,8.8,,118400.0,,11.0,,154700.0,,13.2,,664300.0,,11.5
2006,,2522.0,3400.0,11700.0,,,,16.0,9.06,0.0,0.0,,5538.72,4161.6,306000.0,16900.0,,33.0,15.84,20.0,0.77,,10821.82,14357.52,460600.0,29800.0,,37.0,18.68,25.0,0.88,,21899.27,26842.32,39000.0,,41.0,24.71,2.64,,44011.56,46818.0,52000.0,,50.0,29.16,2.97,,,,68300.0,,,,5.94,,,,73600.0,,,6.6,,97700.0,,8.8,,127100.0,,11.0,,166200.0,,13.2,,712400.0,,11.5
2007,,2800.0,5050.0,11900.0,,,,16.0,15.66,0.0,0.0,,6800.0,17360.0,316700.0,16900.0,,27.0,18.27,20.0,0.77,,13600.0,32360.0,476700.0,29800.0,,41.0,24.14,25.0,0.88,,,52360.0,39000.0,,,27.13,2.64,,,,52000.0,,,,2.97,,,,68300.0,,,,5.94,,,,73600.0,,,6.6,,97700.0,,8.8,,127100.0,,11.0,,166200.0,,13.2,,712400.0,,11.5
2008,,4959.6,5151.0,12100.0,,400.0,,16.0,15.66,0.0,0.0,,7187.6,17707.2,328800.0,13600.0,,27.0,18.27,20.0,0.77,,14375.2,33007.2,495000.0,29800.0,,41.0,24.14,25.0,0.88,,,53407.2,39000.0,,,27.13,2.64,,,,52000.0,,,,2.97,,,,68300.0,,,,5.94,,,,73600.0,,,6.6,,97700.0,,8.8,,127100.0,,11.0,,166200.0,,13.2,,712400.0,,11.5
2009,,5113.35,5151.0,12600.0,,400.0,,16.0,15.66,0.0,0.0,,7410.42,17707.2,367600.0,13600.0,,27.0,18.27,20.0,0.77,,14820.83,33007.2,526200.0,29800.0,,41.0,24.14,25.0,0.88,,,53407.2,39000.0,,,27.13,2.64,,,,52000.0,,,,2.97,,,,68300.0,,,,5.94,,,,73600.0,,,6.6,,97700.0,,8.8,,127100.0,,11.0,,166200.0,,13.2,,712400.0,,11.5
2010,,6120.0,5151.0,12500.0,,400.0,,16.0,15.66,0.0,0.0,,7528.99,17707.2,372100.0,13600.0,,27.0,18.27,20.0,0.77,,15057.96,33007.2,532700.0,29800.0,,41.0,24.14,25.0,0.88,,,53407.2,39000.0,,,27.13,2.64,,,,52000.0,,,,2.97,,,,68300.0,,,,5.94,,,,73600.0,,,6.6,,97700.0,,8.8,,127100.0,,11.0,,166200.0,,13.2,,712500.0,,13.2
2011,,6205.68,5151.0,12600.0,,400.0,,16.0,12.0,0.0,0.0,,7634.4,17707.2,383000.0,14400.0,,27.0,14.0,20.0,0.77,,15268.77,33007.2,548300.0,31500.0,,41.0,18.5,25.0,0.88,,,53407.2,41200.0,,,21.5,2.64,,,120000.0,55000.0,,,22.5,2.97,,,175000.0,72200.0,,,23.5,5.94,,,,77700.0,,,6.6,,103000.0,,8.8,,133900.0,,11.0,,175000.0,,13.2,,751200.0,,13.2
