,Australia,Austria,Belgium,Canada,Chile,Colombia,Costa Rica,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Türkiye,United Kingdom,Unweighted average
2005,10.0,20.0,21.0,7.0,19.0,16.0,,19.0,25.0,18.0,22.0,19.6,16.0,18.0,25.0,24.5,21.0,17.0,20.0,5.0,10.0,18.0,18.0,15.0,15.0,19.0,12.5,25.0,22.0,19.0,19.0,20.0,16.0,25.0,7.6,18.0,17.5,17.769444444444446
2007,10.0,20.0,21.0,6.0,19.0,16.0,,19.0,25.0,18.0,22.0,19.6,19.0,19.0,20.0,24.5,21.0,15.5,20.0,5.0,10.0,18.0,18.0,15.0,15.0,19.0,12.5,25.0,22.0,21.0,19.0,20.0,16.0,25.0,7.6,18.0,17.5,17.727777777777778
2008,10.0,20.0,21.0,5.0,19.0,16.0,,19.0,25.0,18.0,22.0,19.6,19.0,19.0,20.0,24.5,21.0,15.5,20.0,5.0,10.0,18.0,18.0,15.0,15.0,19.0,12.5,25.0,22.0,21.0,19.0,20.0,16.0,25.0,7.6,18.0,17.5,17.700000000000003
2009,10.0,20.0,21.0,5.0,19.0,16.0,,19.0,25.0,18.0,22.0,19.6,19.0,19.0,20.0,24.5,21.5,15.5,20.0,5.0,10.0,21.0,19.0,15.0,15.0,19.0,12.5,25.0,22.0,20.0,19.0,20.0,16.0,25.0,7.6,18.0,15.0,17.727777777777778
2010,10.0,20.0,21.0,5.0,19.0,16.0,,20.0,25.0,20.0,22.0,19.6,19.0,19.0,25.0,25.5,21.0,16.0,20.0,5.0,10.0,21.0,21.0,15.0,16.0,19.0,12.5,25.0,22.0,20.0,19.0,20.0,16.0,25.0,7.6,18.0,17.5,18.130555555555556
2011,10.0,20.0,21.0,5.0,19.0,16.0,,20.0,25.0,20.0,23.0,19.6,19.0,23.0,25.0,25.5,21.0,16.0,20.0,5.0,10.0,22.0,21.0,15.0,16.0,19.0,15.0,25.0,23.0,23.0,20.0,20.0,18.0,25.0,8.0,18.0,20.0,18.641666666666666
2012,10.0,20.0,21.0,5.0,19.0,16.0,,20.0,25.0,20.0,23.0,19.6,19.0,23.0,27.0,25.5,23.0,16.0,21.0,5.0,10.0,22.0,21.0,15.0,16.0,19.0,15.0,25.0,23.0,23.0,20.0,20.0,18.0,25.0,8.0,18.0,20.0,18.780555555555555
2013,10.0,20.0,21.0,5.0,19.0,16.0,,21.0,25.0,20.0,24.0,19.6,19.0,23.0,27.0,25.5,23.0,17.0,21.0,5.0,10.0,21.0,21.0,15.0,16.0,21.0,15.0,25.0,23.0,23.0,20.0,20.0,21.0,25.0,8.0,18.0,20.0,18.975
2014,10.0,20.0,21.0,5.0,19.0,16.0,,21.0,25.0,20.0,24.0,20.0,19.0,23.0,27.0,25.5,23.0,18.0,22.0,5.0,10.0,21.0,21.0,15.0,16.0,21.0,15.0,25.0,23.0,23.0,20.0,22.0,21.0,25.0,8.0,18.0,20.0,19.09722222222222
2015,10.0,20.0,21.0,5.0,19.0,16.0,,21.0,25.0,20.0,24.0,20.0,19.0,23.0,27.0,24.0,23.0,18.0,22.0,8.0,10.0,21.0,21.0,17.0,16.0,21.0,15.0,25.0,23.0,23.0,20.0,22.0,21.0,25.0,8.0,18.0,20.0,19.194444444444443
