,Australia,Austria,Belgium,Canada,Chile,Colombia,Costa Rica,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Türkiye,United Kingdom,Unweighted average
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,0.0,0.0,0.0,-14.28571428571429,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,18.75,5.555555555555558,-19.999999999999996,0.0,0.0,-8.823529411764708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.526315789473696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23448491480382305
2008,0.0,0.0,0.0,-16.666666666666664,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1566906925728473
2009,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3809523809523725,0.0,0.0,0.0,0.0,16.666666666666675,5.555555555555558,0.0,0.0,0.0,0.0,0.0,0.0,-4.761904761904767,0.0,0.0,0.0,0.0,0.0,0.0,-14.28571428571429,0.15693659761455425
2010,0.0,0.0,0.0,0.0,0.0,0.0,,5.263157894736836,0.0,11.111111111111116,0.0,0.0,0.0,0.0,25.0,4.081632653061229,-2.3255813953488413,3.2258064516129004,0.0,0.0,0.0,0.0,10.526315789473696,0.0,6.666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666675,2.2720150423064966
2011,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,4.545454545454541,0.0,0.0,21.052631578947366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761904761904767,0.0,0.0,0.0,0.0,19.999999999999996,0.0,4.545454545454541,14.999999999999991,5.263157894736836,0.0,12.5,0.0,5.263157894736836,0.0,14.28571428571428,2.8190592921709667
2012,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.000000000000007,0.0,9.523809523809534,0.0,5.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.745045447772319
2013,0.0,0.0,0.0,0.0,0.0,0.0,,5.000000000000004,0.0,0.0,4.347826086956519,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,-4.545454545454541,0.0,0.0,0.0,10.526315789473696,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666675,0.0,0.0,0.0,0.0,1.0353498003254025
2014,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0408163265306145,0.0,0.0,0.0,0.0,0.0,5.882352941176472,4.761904761904767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.000000000000009,0.0,0.0,0.0,0.0,0.0,0.6441223832527987
2015,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.882352941176472,0.0,0.0,0.0,60.00000000000001,0.0,0.0,0.0,13.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5090909090909035
